Source,Pathway,Detailed Pathway,Emissions Factor,Unit,Citation,Source [detailed],Notes
Clays,US,Clays-Acid Leaching - US [Thacker Pass],14.53,t CO2e/t LC,Roy et al. 2024,Table 2,
Clays,US,Clays-Roasting - US [Thacker Pass],25.4,t CO2e/t LC,Roy et al. 2024,Table 2,
Geothermal Brines-DLE,Generic,Geothermal Brines-DLE,1.2,t CO2e/t LC,Huang et al. 2021,Table 4,
Geothermal Brines-DLE,Germany,Geothermal Brines-DLE - Germany [Upper Rhine Graben-Conv B] High,46.5,t CO2e/t LC,Schenker et al. 2024,Page 8,
Geothermal Brines-DLE,Germany,Geothermal Brines-DLE - Germany [Upper Rhine Graben-Geo A] Low,5.3,t CO2e/t LC,Schenker et al. 2024,Page 8,
Geothermal Brines-DLE,US,Geothermal Brines-DLE - US [Salton Sea-Conv C] High,59.2,t CO2e/t LC,Schenker et al. 2024,Table 2,
Geothermal Brines-DLE,US,Geothermal Brines-DLE - US [Salton Sea-Geo A] Low,17.6,t CO2e/t LC,Schenker et al. 2024,Table 2,
Lepidolite,China,Lepidolite - China [Average],24.5,t CO2e/t LC,Liu et al. 2025,Abstract / Figure 2 / Table S8,
Lepidolite,China,Lepidolite Spodumene & Lepidolite Pathway - China [Average],17.6,t CO2e/t LC,Liu et al. 2025,Abstract / Figure 2 / Table S8,
Lepidolite,China,Lepidolite Sulfate Pathway - China [Average],22.0,t CO2e/t LC,Liu et al. 2025,Abstract / Figure 2 / Table S8,
Lepidolite,China,Lepidolite Sulfuric Acid Pathway - China [Average],29.8,t CO2e/t LC,Liu et al. 2025,Abstract / Figure 2 / Table S8,
Spodumene,Australia-China,"Spodumene - Australia [""Western Australia""] --> China Refining",29.2,t CO2e/t LC,Mousavinezhad et al. 2024,Page 5,
Spodumene,Australia-China,"Spodumene - Australia [""Western Australia""] --> China Refining [""Xinyu""]",15.69,t CO2e/t LC,Jiang et al. 2020,Table 2,
Spodumene,Australia-China,Spodumene - Australia [Bald Hill] --> China Refining,17.7,t CO2e/t LC,Sun et al. 2025,Table S1,
Spodumene,Australia-China,Spodumene - Australia [Finniss] --> China Refining,19.21,t CO2e/t LC,Peiseler et al. 2025,"Figure 1, Supplementary Data","Best guess of match, exact project not specified"
Spodumene,Australia-China,Spodumene - Australia [Greenbushes] --> China Refining,2.27,t CO2e/t LC,Stamp 2012,Page 109,Likely disregard (spodumene was not very significant in 2012)
Spodumene,Australia-China,Spodumene - Australia [Greenbushes] --> China Refining,20.4,t CO2e/t LC,Kelly et al. 2021,Fig. 4,
Spodumene,Australia-China,Spodumene - Australia [Greenbushes] --> China Refining,19.20,t CO2e/t LC,Chordia et al. 2022,S5.1 Table,
Spodumene,Australia-China,Spodumene - Australia [Greenbushes] --> China Refining,16.35,t CO2e/t LC,Peiseler et al. 2025,"Figure 1, Supplementary Data","Best guess of match, exact project not specified"
Spodumene,Australia-China,Spodumene - Australia [Greenbushes] --> China Refining,17.7,t CO2e/t LC,Sun et al. 2025,Table S1,
Spodumene,Australia-China,"Spodumene - Australia [Greenbushes] --> China Refining [""Qinzhou""]",12.4,t CO2e/t LC,Feng et al. 2024,SI Table S8,
Spodumene,Australia-China,"Spodumene - Australia [Greenbushes] --> China Refining [""Suining""]",16.4,t CO2e/t LC,Feng et al. 2024,SI Table S8,
Spodumene,Australia-China,Spodumene - Australia [Greenbushes] --> China Refining [Zhangjiagang],14.00,t CO2e/t LC,Khakmardan et al. 2023,Fig. 3,Emissions factors are approximate as exact values are not given
Spodumene,Australia-China,Spodumene - Australia [Mt Cattlin] --> China Refining,19.64,t CO2e/t LC,Peiseler et al. 2025,"Figure 1, Supplementary Data","Best guess of match, exact project not specified"
Spodumene,Australia-China,Spodumene - Australia [Mt Cattlin] --> China Refining,17.7,t CO2e/t LC,Sun et al. 2025,Table S1,
Spodumene,Australia-China,"Spodumene - Australia [Mt Cattlin] --> China Refining [""Yaan""]",10.5,t CO2e/t LC,Feng et al. 2024,SI Table S8,
Spodumene,Australia-China,Spodumene - Australia [Mt Cattlin] --> China Refining [Zhangjiagang],34.50,t CO2e/t LC,Khakmardan et al. 2023,Fig. 3,Emissions factors are approximate as exact values are not given
Spodumene,Australia-China,Spodumene - Australia [Mt Marion] --> China Refining,17.53,t CO2e/t LC,Peiseler et al. 2025,"Figure 1, Supplementary Data","Best guess of match, exact project not specified"
Spodumene,Australia-China,Spodumene - Australia [Mt Marion] --> China Refining,17.7,t CO2e/t LC,Sun et al. 2025,Table S1,
Spodumene,Australia-China,"Spodumene - Australia [Mt Marion] --> China Refining [""Xinyu""]",11.7,t CO2e/t LC,Feng et al. 2024,SI Table S8,
Spodumene,Australia-China,"Spodumene - Australia [Mt Wodgina] --> China Refining [""Xinyu""]",15.2,t CO2e/t LC,Feng et al. 2024,SI Table S8,
Spodumene,Australia-China,Spodumene - Australia [Pilgangoora] --> China Refining,16.73,t CO2e/t LC,Peiseler et al. 2025,"Figure 1, Supplementary Data","Best guess of match, exact project not specified"
Spodumene,Australia-China,Spodumene - Australia [Pilgangoora] --> China Refining,17.7,t CO2e/t LC,Sun et al. 2025,Table S1,
Spodumene,Australia-China,"Spodumene - Australia [Pilgangoora] --> China Refining [""Yibin""]",14.5,t CO2e/t LC,Feng et al. 2024,SI Table S8,
Spodumene,Australia-China,Spodumene - Australia [Wodgina] --> China Refining,17.7,t CO2e/t LC,Sun et al. 2025,Table S1,
Spodumene,Australia-China,Spodumene - Australia [Generic] --> China Refining [Generic],13.9,t CO2e/t LC,Liu et al. 2025,Abstract / Figure 2 / Table S8,Ranges from ~10 to ~20 based on pathway
Spodumene,Brazil-China,Spodumene - Brazil [Grota do Cirilo] --> China Refining,16.3,t CO2e/t LC,Sun et al. 2025,Table S1,
Spodumene,Canada,Spodumene - Canada [Nemaska],9.66,t CO2e/t LC,Chordia et al. 2022,S5.2 Table,
Spodumene,China,Spodumene - China [Cuola] --> China Refining,21.55,t CO2e/t LC,Peiseler et al. 2025,"Figure 1, Supplementary Data","Best guess of match, exact project not specified"
Spodumene,Finland,Spodumene - Finland [Keliber],10.10,t CO2e/t LC,Chordia et al. 2022,S5.2 Table,
Spodumene,Generic,Spodumene - High,9.0,t CO2e/t LC,Manjong et al. 2021,Page 15,
Spodumene,Generic,Spodumene - Low,3.5,t CO2e/t LC,Manjong et al. 2021,Page 15,
Spodumene,High-grade (Australia?),High-grade (Australia?),2.28,t CO2e/t LC,Ambrose and Kendall 2020b,Figure 2 / Supplementary 2,
Spodumene,Low-grade (Canada?),Low-grade (Canada?),2.67,t CO2e/t LC,Ambrose and Kendall 2020b,Figure 2 / Supplementary 2,
Spodumene,Zimbabwe-China,Spodumene - Zimbabwe [Arcadia] --> China Refining,16.7,t CO2e/t LC,Sun et al. 2025,Table S1,
Spodumene,Zimbabwe-China,Spodumene - Zimbabwe [Bikita] --> China Refining,17.38,t CO2e/t LC,Peiseler et al. 2025,"Figure 1, Supplementary Data","Best guess of match, exact project not specified"
